DATE,IPG2211N
2001-11-01,81.2860
2001-12-01,86.7929
2002-01-01,93.1467
2002-02-01,86.9036
2002-03-01,85.6999
2002-04-01,82.9279
2002-05-01,86.0943
2002-06-01,96.9445
2002-07-01,107.5129
2002-08-01,106.9083
2002-09-01,97.9196
2002-10-01,88.1079
2002-11-01,85.0995
2002-12-01,92.4775
2003-01-01,98.9134
2003-02-01,93.5154
2003-03-01,87.6286
2003-04-01,82.9239
2003-05-01,87.0357
2003-06-01,95.1995
2003-07-01,107.6837
2003-08-01,110.2116
2003-09-01,97.5951
2003-10-01,88.0106
2003-11-01,86.2952
2003-12-01,95.5320
2004-01-01,101.1633
2004-02-01,95.1279
2004-03-01,89.2912
2004-04-01,84.9384
2004-05-01,91.4957
2004-06-01,100.9995
2004-07-01,108.3099
2004-08-01,106.5877
2004-09-01,99.7237
2004-10-01,90.0287
2004-11-01,87.7823
2004-12-01,97.9484
2005-01-01,100.1783
2005-02-01,93.2322
2005-03-01,91.6859
2005-04-01,84.8598
2005-05-01,89.0961
2005-06-01,105.1127
2005-07-01,115.2018
2005-08-01,116.6325
2005-09-01,105.7258
2005-10-01,93.3929
2005-11-01,89.9189
2005-12-01,100.7063
2006-01-01,97.9718
2006-02-01,94.8460
2006-03-01,92.7132
2006-04-01,86.8965
2006-05-01,93.1077
2006-06-01,106.1562
2006-07-01,117.7717
2006-08-01,118.4876
2006-09-01,101.2452
2006-10-01,92.2348
2006-11-01,90.9836
2006-12-01,98.1374
2007-01-01,103.3715
2007-02-01,101.5247
2007-03-01,93.7237
2007-04-01,89.0662
2007-05-01,94.8404
2007-06-01,106.3980
2007-07-01,113.9429
2007-08-01,120.6136
2007-09-01,107.3821
2007-10-01,96.5545
2007-11-01,93.0562
2007-12-01,100.5501
2008-01-01,105.7929
2008-02-01,100.1436
2008-03-01,94.7326
2008-04-01,89.9315
2008-05-01,93.6154
2008-06-01,109.3188
2008-07-01,116.9686
2008-08-01,113.4894
2008-09-01,103.0003
2008-10-01,92.9511
2008-11-01,91.6453
2008-12-01,101.5547
2009-01-01,105.4647
2009-02-01,96.1966
2009-03-01,92.1443
2009-04-01,86.6876
2009-05-01,90.4098
2009-06-01,102.6608
2009-07-01,110.2877
2009-08-01,112.2641
2009-09-01,100.2088
2009-10-01,90.8228
2009-11-01,88.0645
2009-12-01,102.3977
2010-01-01,107.6657
2010-02-01,101.7298
2010-03-01,93.1508
2010-04-01,86.1228
2010-05-01,93.7401
2010-06-01,110.1862
2010-07-01,119.7359
2010-08-01,119.7763
2010-09-01,105.8409
2010-10-01,91.4943
2010-11-01,90.5852
2010-12-01,105.5991
2011-01-01,108.6940
2011-02-01,99.9288
2011-03-01,94.2952
2011-04-01,89.0954
2011-05-01,92.7644
2011-06-01,108.3984
2011-07-01,121.4134
2011-08-01,120.0614
2011-09-01,104.5176
2011-10-01,91.8359
2011-11-01,90.8101
2011-12-01,99.3242
2012-01-01,101.7809
2012-02-01,95.5189
2012-03-01,91.2245
2012-04-01,87.6384
2012-05-01,96.5427
2012-06-01,107.0030
2012-07-01,120.4934
2012-08-01,117.0156
2012-09-01,102.2890
2012-10-01,91.9490
2012-11-01,90.5012
2012-12-01,98.0435
2013-01-01,104.5221
2013-02-01,97.9830
2013-03-01,95.7881
2013-04-01,89.6884
2013-05-01,93.5817
2013-06-01,105.8143
2013-07-01,116.2904
2013-08-01,114.1597
2013-09-01,104.3849
2013-10-01,93.7270
2013-11-01,93.4285
2013-12-01,104.2768
2014-01-01,112.1051
2014-02-01,103.7167
2014-03-01,97.8053
2014-04-01,89.3012
2014-05-01,94.4823
2014-06-01,106.8672
2014-07-01,114.1848
2014-08-01,113.7509
2014-09-01,104.9647
2014-10-01,93.9453
2014-11-01,94.6272
2014-12-01,101.3804
2015-01-01,108.2084
2015-02-01,104.9337
2015-03-01,97.8938
2015-04-01,89.1716
2015-05-01,94.0283
2015-06-01,108.0395
2015-07-01,118.1052
2015-08-01,117.0693
2015-09-01,107.5340
2015-10-01,93.7097
2015-11-01,90.5082
2015-12-01,97.4443
2016-01-01,105.4584
2016-02-01,98.7665
2016-03-01,91.9059
2016-04-01,88.4892
2016-05-01,93.1987
2016-06-01,109.5878
2016-07-01,121.3317
2016-08-01,122.4416
2016-09-01,108.4374
2016-10-01,93.9929
2016-11-01,90.7819
2016-12-01,102.5688
2017-01-01,104.1290
2017-02-01,93.5989
2017-03-01,94.9595
2017-04-01,88.8613
2017-05-01,94.9690
2017-06-01,108.0517
2017-07-01,119.2823
2017-08-01,111.4782
2017-09-01,103.4349
